feature,importance
num__avg_monthly_charges,1.0348262116001812
cat__InternetService_Fiber optic,0.4127664880416441
cat__InternetService_DSL,0.36901051521137285
cat__Contract_Month-to-month,0.36114294249795553
num__frequency,0.31954505175492454
cat__Contract_Two year,0.3154285214779764
num__tenure_years,0.261126794214682
num__tenure_months,0.18365318239088665
num__tenure,0.18365318239088665
num__recency,0.18365318239088665
cat__TechSupport_No,0.14990569631664866
num__complaint_proxy,0.13033254160852475
cat__PaperlessBilling_No,0.12553504504040097
cat__StreamingMovies_Yes,0.11612089365480587
cat__PaymentMethod_Electronic check,0.10932419264897837
num__TotalCharges,0.10736365775889714
num__monetary,0.10736365775889714
num__total_charges,0.10736365775889714
cat__StreamingTV_Yes,0.10587893549860482
num__engagement_score,0.10264446557539024
cat__TechSupport_Yes,0.0968894188253061
cat__MultipleLines_No,0.09311592394191144
cat__DeviceProtection_No internet service,0.08713429528635516
cat__OnlineBackup_No internet service,0.08713429528635516
cat__StreamingTV_No internet service,0.08713429528635516
cat__TechSupport_No internet service,0.08713429528635516
cat__OnlineSecurity_No internet service,0.08713429528635516
cat__InternetService_No,0.08713429528635516
cat__StreamingMovies_No internet service,0.08713429528635516
cat__OnlineSecurity_No,0.08647065984539215
cat__Dependents_Yes,0.08359269679875456
cat__StreamingMovies_No,0.0834674187240353
cat__StreamingTV_No,0.07407818712545358
cat__OnlineBackup_No,0.0688253427093176
cat__Partner_No,0.05326892091882215
cat__MultipleLines_Yes,0.05094377526307222
cat__gender_Female,0.04924026079409434
cat__PaymentMethod_Credit card (automatic),0.04831075275506458
cat__PaymentMethod_Bank transfer (automatic),0.048162558031918976
cat__PaperlessBilling_Yes,0.04385056704992138
cat__PaymentMethod_Mailed check,0.043609076033012374
num__SeniorCitizen,0.04313660416436653
cat__OnlineSecurity_Yes,0.04247239509393657
cat__DeviceProtection_Yes,0.04063501156450152
cat__gender_Male,0.0338999357146386
cat__Partner_Yes,0.030063402076157993
cat__OnlineBackup_Yes,0.028132316437692168
num__MonthlyCharges,0.016647508579124056
num__monthly_charges,0.016647508579124056
cat__PhoneService_Yes,0.014805055005865656
cat__PhoneService_No,0.014732324473760695
cat__MultipleLines_No phone service,0.014732324473760695
cat__Contract_One year,0.014188838464677743
cat__Dependents_No,0.013715844743942917
cat__customerID_1555-DJEQW,0.01316013668736999
cat__customerID_4580-TMHJU,0.010036177912480975
cat__DeviceProtection_No,0.007973447752496636
cat__customerID_2207-OBZNX,0.007749125694469994
cat__customerID_5356-RHIPP,0.007340836075611974
cat__customerID_4883-QICIH,0.007277069530968865
cat__customerID_8740-XLHDR,0.006899676884378876
cat__customerID_5295-PCJOO,0.006197276984681836
cat__customerID_2632-UCGVD,0.00605548408544573
cat__customerID_2897-DOVND,0.0054578005284170615
cat__customerID_2372-HWUHI,0.004735800687289494
cat__customerID_1104-TNLZA,0.004676989164900077
cat__customerID_6030-REHUX,0.004536552540766561
cat__customerID_7774-OJSXI,0.004513970981137743
cat__customerID_8104-OSKWT,0.004180542121354996
cat__customerID_6522-YRBXD,0.004015083616350916
cat__customerID_6635-CPNUN,0.003420018760894251
cat__customerID_2276-YDAVZ,0.0034139493628782256
cat__customerID_5302-BDJNT,0.0033864271023426986
cat__customerID_4931-TRZWN,0.003351702135691281
cat__customerID_4109-CYRBD,0.0032534872473644716
cat__customerID_5349-AZPEW,0.003050709091332477
cat__customerID_2357-COQEK,0.002987011051064853
cat__customerID_8201-AAXCB,0.0029373132198950353
cat__customerID_3537-HPKQT,0.002750453255949719
cat__customerID_3689-MOZGR,0.002598930037519635
cat__customerID_1958-RNRKS,0.0025799352983700125
cat__customerID_0880-FVFWF,0.00247295405733618
cat__customerID_5066-GFJMM,0.002459930240408647
cat__customerID_2957-JIRMN,0.002384199630755943
cat__customerID_0872-JCPIB,0.0023091854662356157
cat__customerID_0329-GTIAJ,0.002241201071900752
cat__customerID_8203-XJZRC,0.0021279060561943427
cat__customerID_8644-XYTSV,0.002127147036920795
cat__customerID_1135-LMECX,0.002101884103819411
cat__customerID_6161-UUUTA,0.001984481773991251
cat__customerID_7883-ROJOC,0.001961652328354933
cat__customerID_5760-WRAHC,0.0019223457004618981
cat__customerID_8250-ZNGGW,0.0018644915846449145
cat__customerID_6296-DDOOR,0.0017646966934659304
cat__customerID_4676-MQUEA,0.0017598975647048069
cat__customerID_8033-ATFAS,0.0017480829697610627
cat__customerID_0142-GVYSN,0.0016508800951727655
cat__customerID_7787-BNTZM,0.0015478529671841634
cat__customerID_6873-UDNLD,0.0014953024238139167
cat__customerID_2660-EMUBI,0.0014474349558131205
cat__customerID_5307-UVGNB,0.0014468206034389647
cat__customerID_5294-IMHHT,0.0014054976430715829
cat__customerID_3621-CHYVB,0.0013576032721227406
cat__customerID_7566-DSRLQ,0.0013269010511309596
cat__customerID_2506-TNFCO,0.0011996530397796726
cat__customerID_9351-LZYGF,0.0011230355334976498
cat__customerID_6992-TKNYO,0.0010237789706395812
cat__customerID_5961-VUSRV,0.0010112042428329878
cat__customerID_3363-DTIVD,0.000939790077529125
cat__customerID_4522-XRWWI,0.0008843397724110468
cat__customerID_4730-AWNAU,0.0008779152543499195
cat__customerID_0661-KQHNK,0.00081147381837319
cat__customerID_8606-CIQUL,0.0007122662842657526
cat__customerID_3870-SPZSI,0.0006945691679736696
cat__customerID_8559-WNQZS,0.000660780622697338
cat__customerID_0859-YGKFW,0.0005431286672476218
cat__customerID_6754-WKSHP,0.0005047944257633786
cat__customerID_3957-HHLMR,0.00039309533286372296
cat__customerID_2599-CIPQE,0.0003476036717132896
cat__customerID_3720-DBRWL,0.0003401064133128543
cat__customerID_8067-NIOYM,0.00027911803086222697
cat__customerID_0607-DAAHE,0.00025071501420874045
cat__customerID_6323-AYBRX,0.00024941267743098817
cat__customerID_3512-IZIKN,0.0002454607921171597
cat__customerID_8631-NBHFZ,0.0002370690461755022
cat__customerID_7359-SSBJK,0.00023518156122266757
cat__customerID_0230-WEQUW,0.0002340051187051887
cat__customerID_1043-YCUTE,0.00023267343015566011
cat__customerID_7253-UVNDW,0.0002309162871174246
cat__customerID_5458-CQJTA,0.00023040915040647481
cat__customerID_6532-YLWSI,0.00022930438636394474
cat__customerID_2225-ZRGSG,0.00022745789904515698
cat__customerID_0378-XSZPU,0.0002228106962502345
cat__customerID_8515-OCTJS,0.00022096588592858065
cat__customerID_0617-AQNWT,0.00021933312963452482
cat__customerID_7951-QKZPL,0.00021806999776910103
cat__customerID_6261-RCVNS,0.00020865559280113132
cat__customerID_9063-ZGTUY,0.00020831619514793137
cat__customerID_4597-ELFTS,0.0002078522500960439
cat__customerID_0687-ZVTHB,0.00020537040075405157
cat__customerID_0516-VRYBW,0.00020438608947669716
cat__customerID_2321-OMBXY,0.00020205024957311996
cat__customerID_1725-IQNIY,0.0002013332126935254
cat__customerID_5906-CVLHP,0.00020117786649549138
cat__customerID_0565-IYCGT,0.0002002747189839806
cat__customerID_4322-RCYMT,0.00019932855432541052
cat__customerID_4106-HADHQ,0.00019697910415122325
cat__customerID_6559-ILWKJ,0.00019565929092104568
cat__customerID_4355-HBJHH,0.00019488699252127127
cat__customerID_9053-JZFKV,0.00019431334092557395
cat__customerID_4404-HIBDJ,0.00019306760668810194
cat__customerID_1038-ZAGBI,0.0001907682240582218
cat__customerID_6990-YNRIO,0.00019050763076773467
cat__customerID_4174-LPGTI,0.00019002692904201068
cat__customerID_0203-HHYIJ,0.00018920431367733235
cat__customerID_8166-ZZTFS,0.0001863000916686159
cat__customerID_1623-NLDOT,0.00018611039224260417
cat__customerID_8559-CIZFV,0.00018584923486062777
cat__customerID_6635-MYYYZ,0.00018505676914048
cat__customerID_0022-TCJCI,0.00018206628045707132
cat__customerID_6034-ZRYCV,0.00018193776657194225
cat__customerID_5020-ZSTTY,0.00018007488190873304
cat__customerID_3034-ZBEQN,0.00017948804744289735
cat__customerID_7541-YLXCL,0.00017835986740022207
cat__customerID_1577-HKTFG,0.0001765335310447215
cat__customerID_2634-HCZGT,0.00017591888894544103
cat__customerID_4853-RULSV,0.0001747711816130699
cat__customerID_3090-HAWSU,0.00017265901682552914
cat__customerID_2484-DGXPZ,0.00017162017395258087
cat__customerID_2150-UWTFY,0.0001713514740014639
cat__customerID_4765-OXPPD,0.0001707976947739153
cat__customerID_1527-SXDPN,0.00017017123236958228
cat__customerID_9170-GYZJC,0.00017010850322537059
cat__customerID_4576-CSAJH,0.0001692274694281081
cat__customerID_2667-WYLWJ,0.0001673260346898642
cat__customerID_3259-FDWOY,0.0001668816131730626
cat__customerID_0582-AVCLN,0.00016382747677296368
cat__customerID_3192-NQECA,0.00016371201015208338
cat__customerID_3351-NQLDI,0.00016354341018941422
cat__customerID_0201-OAMXR,0.0001635412025666282
cat__customerID_6481-OGDOO,0.00016302877715956087
cat__customerID_7657-DYEPJ,0.00016280834053502457
cat__customerID_5294-CDGWY,0.00016225113829461055
cat__customerID_7931-PXHFC,0.0001619735246428864
cat__customerID_5748-RNCJT,0.00016139937975636405
cat__customerID_7317-GGVPB,0.0001609248702138997
cat__customerID_4510-PYUSH,0.00015958450038349118
cat__customerID_3092-IGHWF,0.00015925800511702932
cat__customerID_8035-BUYVG,0.0001591946140007561
cat__customerID_7762-URZQH,0.00015911802681113817
cat__customerID_6861-OKBCE,0.00015878882763331828
cat__customerID_0112-QWPNC,0.00015868027878177923
cat__customerID_4139-SUGLD,0.0001583897729572417
cat__customerID_0117-LFRMW,0.0001578251250629362
cat__customerID_1114-CENIM,0.0001577652105331952
cat__customerID_0748-RDGGM,0.00015708408234277576
cat__customerID_8624-GIOUT,0.0001558950474126407
cat__customerID_8079-XRJRS,0.00015586255044738458
cat__customerID_4488-PSYCG,0.00015508345844261726
cat__customerID_6386-SZZKH,0.0001549537885890141
cat__customerID_5577-OTWWW,0.00015375372476821256
cat__customerID_6289-CPNLD,0.000153341635674932
cat__customerID_2834-JRTUA,0.00015316470008626168
cat__customerID_5089-IFSDP,0.00015278920623205768
cat__customerID_2223-KAGMX,0.00015276089042062682
cat__customerID_6302-JGYRJ,0.00015246501766857048
cat__customerID_2889-FPWRM,0.00015229483122068032
cat__customerID_5013-SBUIH,0.00015211802532154808
cat__customerID_3104-OWCGK,0.0001509308924838527
cat__customerID_7614-QVWQL,0.00015073978940239655
cat__customerID_7055-VKGDA,0.00015038758619224859
cat__customerID_9259-PACGQ,0.00015035379158194945
cat__customerID_5440-FLBQG,0.00014906749867605145
cat__customerID_3097-FQTVJ,0.00014895457211539623
cat__customerID_0193-ESZXP,0.0001487953240988741
